Quote,Author,emotion
"Don't be afraid of the shadows, that only means there's a light nearby.",Evanescence,Fear
"Inside of all of us there is the need and the desire to be heard, to have our innermost thoughts, feelings and desires expressed for others to hear, to see and to understand. We all want to matter to someone, to leave a mark. Writers just take those thoughts, feelings and desires and express them in such a way that the reader not only reads them but feels them as well.",Vicktor Alexander,Joy
"Sometimes we love with nothing more than hope. Sometimes we cry with everything except tears. In the end that’s all there is: love and its duty, sorrow and its truth. In the end that’s all we have - to hold on tight until the dawn",Gregory David Roberts,Joy
"When mice run, cats give chase.",Rachel Vincent,Fear
Once a Ponce a time she made me feel like a conquistador. Now her memory is just a breeze seen in swaying Spanish moss.,Jarod Kintz,Fear
"Few men realize that their life, the very essence of their character, their capabilities and their audacities, are only the expression of their belief in the safety of their surroundings.",Joseph Conrad,Joy
"The primary thing when you take a sword in your hands is your intention to cut the enemy, whatever the means. Whenever you parry, hit, spring, strike or touch the enemy's cutting sword, you must cut the enemy in the same movement. It is essential to attain this. If you think only of hitting, springing, striking or touching the enemy, you will not be able actually to cut him.",Miyamoto Musashi,Joy
The point of modernity is to live a life without illusions while not becoming disillusioned,Antonio Gramsci,Fear
"Sometimes success isn't about making the right decision, it's more about making some decision.",Robin S. Sharma,Joy
"In all debates, let truth be thy aim, not victory, or an unjust interest.",William Penn,Joy
"Holding a grudge & harboring anger/resentment is poison to the soul. Get even with people...but not those who have hurt us, forget them, instead get even with those who have helped us.",Steve Maraboli,Anger
"I want you to learn the lesson of the lotus. This flower springs forth from muddy waters. It raises its delicate petals to the sun and perfumes the world while, at the same time, its roots cling to the elemental muck, the very essence of the mortal experience. Without that soil, the flower would wither and die.",Colleen Houck,Joy
Fear not the path of Truth for the lack of People walking on it.,Robert F. Kennedy,Fear
"I ask you right here please to agree with me that a scar is never ugly. That is what the scar makers want us to think. But you and I, we must make an agreement to defy them. We must see all scars as beauty. Okay? This will be our secret. Because take it from me, a scar does not form on the dying. A scar means, I survived.",Chris Cleave,Joy
It is this belief in a power larger than myself and other than myself which allows me to venture into the unknown and even the unknowable.,Maya Angelou,Fear
There is nothing more unequal than the equal treatment of unequal people.,Thomas Jefferson,Joy
"Promise me, Amelie, that you’ll crucify me with silver before you allow me to fall in love.”“I hardly think there’s any chance of that,” Amelie said. ""I doubt you have the capacity.",Rachel Caine,Joy
"His sentences didn't seem to have any verbs, which was par for a politician. All nouns, no action.",Jennifer Crusie,Anger
"See?""she heard Shane yell at the kitchen. ""She doesn't stomp around like a cattle stampede!""""Bite me, Collins! No bacon for you, either!",Rachel Caine,Anger
"I’m glad scrambled eggs don’t have lips, because when I’m grinning over a hearty breakfast, it would really freak me out to see my breakfast grinning back. I’ve eaten a man for less than that.",Jarod Kintz,Joy
Happiness is something we reap from the seeds we sow. Plant misery seeds and that us what you reap.,Stephen Richards,Joy
...because if you can make yourself happy in the rain then you're doing pretty alright in life.,David Levithan,Joy
"I wasn't mean; I wasn't evil. I was nice. And let me tell you, a hesitant man is the last thing in the world a woman needs. She needs a lover and a warrior, not a Really Nice Guy.",John Eldredge,Fear
"A man wants to earn money in order to be happy, and his whole effort and the best of a life are devoted to the earning of that money. Happiness is forgotten; the means are taken for the end.",Albert Camus,Joy
"I’ve never had anyone’s approval, so I’ve learned to live without it.",Pat Conroy,Joy
"Tell me, Doctor, are you afraid of death?""""I guess it depends on how you die.",Haruki Murakami,Fear
I’ll make a swing so I can reach the places I can’t reach yet.,Nina LaCour,Joy
Don't forget to pray today because God did not forget to wake you up this morning.,Oswald Chambers,Joy
"You must know that I am made of death, from head to foot, and it is a corpse who loves you and adores you and will never, never leave you!",Gaston Leroux,Anger
"We live in a culture that has, for centuries now, cultivated the idea that the skeptical person is always smarter than one who believes. You can almost be as stupid as a cabbage as long as you doubt.",Dallas Willard,Fear
"We have never heard the devil's side of the story, God wrote all the book.",Anatole France,Anger
"Faith is, at one and the same time, absolutely necessary and altogether impossible.",Stanisław Lem,Joy
"My grandpa died yesterday. I ought to know, because I shot him. So come, join me in the fight against patricide by killing your father’s father.",Jarod Kintz,Joy
"I watch you like a mirror, because I see in you what I see in myself. Who we love is a reflection of who we are.",Jarod Kintz,Joy
"I am not yours, not lost in you,Not lost, although I long to beLost as a candle lit at noon,Lost as a snowflake in the sea.You love me, and I find you stillA spirit beautiful and bright,Yet I am I, who long to beLost as a light is lost in light.",Sara Teasdale,Joy
"To feel most beautifully alive means to be reading something beautiful, ready always to apprehend in the flow of language the sudden flash of poetry.",Gaston Bachelard,Joy
"I would teach how science works as much as I would teach what science knows. I would assert (given that essentially, everyone will learn to read) that science literacy is the most important kind of literacy they can take into the 21st century. I would undervalue grades based on knowing things and find ways to reward curiosity. In the end, it's the people who are curious who change the world.",Neil deGrasse Tyson,Fear
Love is ______ (fill in the blank yourself).,Santosh Kalwar,Joy
"I don't need handcuffs to enslave a woman.""-Ranger to Stephanie",Janet Evanovich,Fear
"...whether he stayed or left, whether they walked the same path or not. They could live on opposite sides of the world, and she would still be his.",Lisa Kleypas,Joy
"I love writing, but hate starting. The page is awfully white and it says, 'You may have fooled some of the people some of the time but those days are over, Giftless. I'm not your agent and I'm not your mommy: I'm a white piece of paper. You wanna dance with me?' and I really, really don't. I'll go peaceable-like.",Aaron Sorkin,Joy
I can elect something I love and absorb myself in it.,Anaïs Nin,Joy
"The problem is acceptance, which is something we're taught not to do. We're taught to improve uncomfortable situations, to change things, alleviate unpleasant feelings. But if you accept the reality that you have been given- that you are not in a productive creative period- you free yourself to begin filling up again.",Anne Lamott,Joy
They will only care when you're gone.,Marilyn Monroe,Anger
"If a man comes to the door of poetry untouched by the madness of the Muses, believing that technique alone will make him a good poet, he and his sane compositions never reach perfection, but are utterly eclipsed by the performances of the inspired madman.",Socrates,Joy
I have a fear of palindromes. Maybe because the only person to ever beat the hell out of me was a man named Bob.,Jarod Kintz,Fear
"All religions lead to the same God, and all deserve the same respect. Anyone who chooses a religion is also choosing a collective way for worshipping and sharing the mysteries. Nevertheless, that person is the only one responsible for his or her actions along the way and has no right to shift responsibility for any personal decisions on to that religion.",Paulo Coelho,Joy
"It has always seemed strange to me that in our endless discussions about education so little stress is laid on the pleasure of becoming an educated person, the enormous interest it adds to life. To be able to be caught up into the world of thought—that is to be educated.""[Saturday Evening Post, September 27, 1958]",Edith Hamilton,Fear
"To me it seems that too many young women of this time share the same creed. 'Live, laugh, love, be nothing but happy, experience everything, et cetera et cetera.' How monotonous, how useless this becomes. What about the honors of Joan of Arc, Beauvoir, Stowe, Xena, Princess Leia, or women that would truly fight for something other than just their own emotions?",Criss Jami,Joy
School is the advertising agency which makes you believe that you need the society as it is.,Ivan Illich,Joy
"Dreams and restless thoughts came flowing to him from the river, from the twinkling stars at night, from the sun's melting rays. Dreams and a restlessness of the soul came to him.",Hermann Hesse,Fear
"Missing a train is only painful if you run after it! Likewise, not matching the idea of success others expect from you is only painful if that’s what you are seeking.",Nassim Nicholas Taleb,Joy
"All that mankind has done, thought, gained, or been; it is lying as in magic preservation in the pages of books.",Thomas Carlyle,Joy
Science is the process that takes us from confusion to understanding...,Brian Greene,Fear
الله عادل، لكن الحياة غير عادلة. الحياة ليست مكانًا للعدل، بل لاختبار حسّنا تجاهه,ليلى الجهني,Joy
"The sun rose and tinted the sky rose, that floral red teeming with romance, and it filtered in thoughts of the love I used to have for her.",Jarod Kintz,Joy
"I suppose [my life] has most resembled a blue chip stock: fairly stable, more ups than downs, and gradually trending upward over time. A good buy, a lucky buy, and I've learned that not everyone can say that about his life.",Nicholas Sparks,Joy
Imagine no limitations; decide what's right and desirable before you decide what's possible.,Brian Tracy,Joy
The night is just a part of the day,Paulo Coelho,Anger
"The heart wants what it wants, Dolp. You don't plan on making your life complicated, it just happens,and you don""t do it on purpose, and you don't do it to hurt people who love you. It just turns out that way sometimes.",Laurell K. Hamilton,Anger
"As much as I want to make love to you, I’d rather make love to your clone.",Jarod Kintz,Joy
"If you think something is missing in your life, it is probably YOU...",Robert Holden,Anger
The soul is like an uninhabited worldthat comes to life only whenGod lays His headagainst us.,Thomas Aquinas,Fear
"A sailor chooses the wind that takes the ship from a safe port. Ah, yes, but once you're abroad, as you have seen, winds have a mind of their own. Be careful, Charlotte, careful of the wind you choose.",Avi,Joy
"You are the grim, goal-oriented ones who will not believe that the joy is in the journey rather than the destination no matter how many times it has been proven to you.",Stephen King,Joy
"By 20, you should be smart. By 30, you should be strong. By 40, you should be rich. By 50, you should be wise. But if you are smart, strong, rich and wise, you don't need any age limits.",Santosh Kalwar,Joy
"Indeed, the more we find to love, the more we add to the measure of our hearts.",Lloyd Alexander,Joy
Imagine others complexly.,John Green,Anger
No passion is stronger in the breast of a man than the desire to make others believe as he believes. Nothing so cuts at the root of his happiness and fills him with rage as the sense that another rates low what he prizes high.,Virginia Woolf,Anger
"Professors of literature collect books the way a ship collects barnacles, without seeming effort.",Carolyn G. Heilbrun,Joy
"No matter how much falls on us, we keep plowing ahead. That's the only way to keep the roads clear.",Greg Kincaid,Joy
It's the idea that people living close to nature tend to be noble. It's seeing all those sunsets that does it. You can't watch a sunset and then go off and set fire to your neighbor's tepee. Living close to nature is wonderful for your mental health.,Daniel Quinn,Joy
"Oh, sweetie, I'm sorry, you can't have a baby brother, because that would mean that Daddy had sex, and that's never going to happen again.",Christopher Moore,Anger
"I couldn't repair your brakes, so I made your horn louder.",Steven Wright,Anger
Because he has the best equipment in the City and he knows how to use it!,Ilona Andrews,Joy
The thing everyone should realize is that the key to happiness is being happy for yourself and yourself.,Ellen DeGeneres,Joy
"Mara, that's the life I want to give you. That's what I'm offering you. I want to fill you life with color and warmth. I want to fill it with light. Give me a chance",Francine Rivers,Joy
"Happiness wasn't a mystical place to be reached or won--some bright terrain beyond the boundary of misery, a paradise waiting for them to find it--but something to carry doggedly with you through everything, as humble and ordinary as your gear and supplies.",Laini Taylor,Joy
"But I know just what it feels like to have a voice in the back of my head, like a face that I hold inside, face that awakes when I close my eyes, face that watches everytime I lie, face that laughs everytime I fall. (It watches EVERYTHING) ... But the face inside is hearing me, right beneath my skin.",Linkin Park,Joy
It is a kind of spiritual snobbery that makes people think they can be happy without money.,Albert Camus,Joy
Friendship is thinking of the other person first.,George Alexiou,Joy
The purpose of life is the expansion of happiness.,Deepak Chopra,Joy
I NEVER UNDERSTOOD THE POINT OF BEING SADWHEN I COULD CHOOSE TO BE HAPPY,Megan McCafferty,Joy
Wisdom. . .is knowing what you have to accept.,Wallace Stegner,Joy
No man is great enough or wise enough for any of us to surrender our destiny to. The only way in which anyone can lead us is to restore to us the belief in our own guidance.,Henry Miller,Joy
"Far better it is for you to say: ""I am a sinner,""than to say: ""I have no need of religion.""The empty can be filled, but the self-intoxicated have no room for God.",Fulton J. Sheen,Anger
"But here steps in Satan, the eternal rebel, the first freethinker and the emancipator of worlds. He makes man ashamed of his bestial ignorance and obedience; he emancipates him, stamps upon his brow the seal of liberty and humanity, in urging him to disobey and eat of the fruit of knowledge.",Mikhail Bakunin,Anger
I bequeath myself to the dirt to grow from the grass I loveIf you want me again look for me under your boot-soles.You will hardly know who I am or what I meanBut I shall be good health to you nonethelessAnd filter and fibre your blood.,Walt Whitman,Joy
"I breathe onto a mirror just to make sure I’m still alive, and to see how good looking my breath is.",Jarod Kintz,Joy
Trust and faith bring joy to life and help relationships grow to their maximum potential.,Joyce Meyer,Joy
"In your pursuit of your passions, always be young. In your relationship with others, always be grown-up.",Tom Brokaw,Joy
If I never meet you In this lifeLet me feel the lackA glance from your eyesThen my life Will be yours,James Jones,Joy
"This is thy hour O Soul, thy free flight into the wordless, Away from books, away from art, the day erased, the lesson done,Thee fully forth emerging, silent, gazing, pondering the themes thou lovest best. Night, sleep, and the stars.",Walt Whitman,Joy
"Become the leader of your life. Lead yourself to where you want to be. Breathe life back into your ambitions, your desires, your goals, your relationships.",Steve Maraboli,Joy
"Time has its revenges, but revenge seems so often sour. Wouldn’t we all do better not trying to understand, accepting the fact that no human being will ever understand another, not a wife with a husband, nor a parent a child? Perhaps that’s why men have invented God – a being capable of understanding.",Graham Greene,Joy
"People get stupid when they're in love; people want what they can't have; and the years between ages twelve and eighteen always, always suck.",Claudia Gray,Anger
Tereza knew what happens during the moment love is born: the woman cannot resist the voice calling forth her terrified soul; the man cannot resist the woman whose soul thus responds to his voice.,Milan Kundera,Fear
"Sensuality often hastens the ""Growth of Love""so much that the roots remain weak and are easily torn up.",Friedrich Nietzsche,Fear
"He understood how dangerous oaths could be. But Leo didn't care. ""I'm coming back for you, Calypso,""he said to the night wind. ""I swear it on the River Styx.",Rick Riordan,Anger
"There was a moment when I changed from an amateur to a professional. I assumed the burden of a profession, which is to write even when you don't want to, don't much like what you're writing, and aren't writing particularly well.",Agatha Christie,Joy
There once was a time when all people believed in God and the church ruled. This time was called the Dark Ages.,Richard Lederer,Fear
"A story isn't a charcoal sketch, where every stroke lies on the surface to be seen. It's an oil painting, filled with layers that the author must uncover so carefully to show its beauty.",Amelia Atwater-Rhodes,Joy
"You know what I did after I wrote my first novel? I shut up and wrote twenty-three more.""(""The Castle"")",Michael Connelly,Anger
"Roses are red, violets are blue, I have five fingers, the middle one is for you.",Gena Showalter,Joy
"Words are magic. They have the power to hurt and to heal, and even withholding them has the power to hurt and to heal. What else has as much potency in its absence and can do without doing? What I mean is, even when you don’t say anything, you are communicating as effectively as if you’d spoken.",Jarod Kintz,Joy
"To educate the peasantry, three things are needed: schools, schools and schools.",Leo Tolstoy,Joy
The purpose of education is to replace an empty mind with an open one.,Malcolm Forbes,Joy
Live to learn to love. Learn to love to live. Love to live to learn so that you may live the life that you yearn.,Rico Dasheem,Joy
"I don't want revenge on the Taliban, I want education for sons and daughters of the Taliban.",Malala Yousafzai,Anger
"When you know what you want, and you want it bad enough, you'll find a way to get it.",Jim Rohn,Joy
I still remember the day my father took me to the Cemetery of Forgotten Books for the first time.,Carlos Ruiz Zafón,Fear
Science is always discovering odd scraps of magical wisdom and making a tremendous fuss about its cleverness.,Aleister Crowley,Joy
"It's too late to apologize for I have already forgiven you.""-FitzChivalry Farseer",Robin Hobb,Joy
"Reading is my favourite occupation, when I have leisure for it and books to read.",Anne Brontë,Joy
Life is a perpetual yesterday for us.,Alice Sebold,Joy
"Non-judgment quiets the internal dialogue, and this opens once again the doorway to creativity.",Deepak Chopra,Joy
Don't set your goals by what other people deem important.,Jaachynma N.E. Agu,Joy
"I want to Live! Not Die, Not Hide, LIVE!",Margaret Peterson Haddix,Joy
Show me that I m everywhere and get me home for tea.,George Harrison,Joy
All of the great empires of the future will be empires of the mind.,Winston S. Churchill,Joy
"Be compassionate ... and take responsibility for each other. If we only learned those lessons, this world would be a better place.",Mitch Albom,Joy
"I firmly believe that any man's finest hour, the greatest fulfillment of all that he holds dear, is that moment when he has worked his heart out in a good cause and lies exhausted on the field of battle - victorious.""",Vince Lombardi Jr.,Joy
"Let’s do a 50-50 deal, with me getting 75% of the profits, and you getting the other half. That’s how we can both get the most value out of a relationship.",Jarod Kintz,Joy
Philosophy cannot be taught; it is the application of the sciences to truth.,Alexandre Dumas,Joy
The atheist staring from his attic window is often nearer to God than the believer caught up in his own false image of God.,Martin Buber,Fear
"Reading the Bible will help you get to know the word, but it’s when you put it down and live your life that you get to know the author.",Steve Maraboli,Joy
"What is demanded of man is not, as some existential philosophers teach, to endure the meaninglessness of life, but rather to bear his incapacity to grasp its unconditional meaningfulness in rational terms.",Viktor E. Frankl,Joy
"When you have a great and difficult task, something perhaps almost impossible, if you only work a little at a time, every day a little, suddenly the work will finish itself.",Karen Blixen,Fear
We had the experience but missed the meaning. And approach to the meaning restores the experience in a different form.,T.S. Eliot,Joy
I shut my eyes in order to see.,Paul Gauguin,Fear
"Life's managed, not cured.",Phillip C. McGraw,Joy
"Right now, we're living in an ugly chapter of our lives, but books always get better!",Chris Colfer,Anger
"If I was on the road to Hell, at least I was going in style.",Jim Butcher,Joy
"We are not helpless...Many times in our lives we’ve been powerless, but not this night. Right now we have the power to choose the manner in which we die. If you have been a master of nothing else in all your days, you are now a master of this moment. And I for one am going to give such an answer to this insult that others will dearly regret not being by my side to see it!",Jeaniene Frost,Anger
Happiness is your nature. It is not wrong to desire it. What is wrong is seeking it outside when it is inside.,Ramana Maharshi,Joy
Clear thinking at the wrong moment can stifle creativity.,Karl Lagerfeld,Joy
"At the end of the day, the questions we ask of ourselves determine the type of people that we will become.",Leo Babauta,Fear
Joy came always after pain.,Guillaume Apollinaire,Joy
You and your purpose in life are the same thing. Your purpose is to be you.,George Alexiou,Joy
"In the land of the blind, the one-eyed man is king.",Desiderius Erasmus,Anger
I was tired of seeing the Graces always depicted as beautiful young things. I think wisdom comes with age and life and pain. And knowing what matters.,Louise Penny,Joy
Are you happy?,Ray Bradbury,Joy
A man is never more truthful than when he acknowledges himself a liar.,Mark Twain,Joy
Merciful death. How you love your precious guilt,Anne Rice,Joy
"Look,” he said, “the point is there’s no way to be a hundred percent sure about anyone or anything. So you’re left with a choice. Either hope for the best, or just expect the worst.”If you expect the worst, you’re never disappointed,” I pointed out.Yeah, but who lives like that?",Sarah Dessen,Joy
"What I fear most, I think, is the death of the imagination.",Sylvia Plath,Fear
"Death is the only wise advisor that we have. Whenever you feel, as you always do, that everything is going wrong and you're about to be annihilated, turn to your death and ask if that is so. Your death will tell you that you're wrong; that nothing really matters outside its touch. Your death will tell you, 'I haven't touched you yet.",Carlos Castaneda,Fear
A statue stands in a shaded placeAn angel girl with an upturned faceA name is written on a polished rockA broken heart that the world forgot,Martina Mcbride,Joy
They say that I am a poetI wonder what they would say if they saw me from the inside I bottleemotions and place them into the sea for others to unbottle ondistant shores I am unsure as to whether they ever reach and forthat matter as to whether I ever get my point acrossor my love,Saul Williams,Fear
"But one kiss levitates above all the others. Theintersection of function and desire. The I do kiss.The I’ll love you through a brick wall kiss.Even when I’m dead, I’ll swim through the Earth,like a mermaid of the soil, just to be next to your bones.",Jeffrey McDaniel,Joy
Vodka in the shape of a human body would be an excellent dancing partner. I'm a bring my own chaser kind of lover.,Jarod Kintz,Joy
"Oh for God's sake,' Heather said, 'I wish you two would just go out, fail miserably as a couple, and get it over with.",Sarah Dessen,Fear
"And they were quiet but their blood and nerves and butterflies were not—they were rampantly alive, rushing and thrumming in a wild and perfect melody, matched note for note.",Laini Taylor,Joy
What business had I to think of one that never thought of me?,Anne Brontë,Anger
A word is not the same with one writer as it is with another. One tears it from his guts. The other pulls it out of his overcoat pocket.,Charles Péguy,Anger
Don't belittle yourself. Be BIG yourself.,Corita Kent,Joy
"In my experience, nothing worthwhile has ever really been all that easy. But it certainly has been worthwhile regardless how difficult it seemed.",Robert Fanney,Joy
"When anybody asks me what time it is, I always say, “Yesterday, plus 24 hours.",Jarod Kintz,Anger
"But there's a juicy artery in your groin,""he said after a pause to regroup, his voice as slithery as a snake on a slide.""Don't you talk dirty,""I told him. ""I won't listen to that.",Charlaine Harris,Anger
"A lot of people ask me if I were shipwrecked, and could have only one book, what would it be? I always say, ""How to Build a Boat.",Stephen Wright,Fear
Love speaks to the heart like a mime to a mute.,Jarod Kintz,Fear
"I like using big words. Words like huge, gigantic, massive.",Jarod Kintz,Joy
Public education was not founded to give society what it wants. Quite the opposite.,May Sarton,Joy
There can be no disparity in marriage like unsuitability of mind and purpose.,Charles Dickens,Joy
"Man's right to know, to learn, to inquire, to make bona fide errors, to investigate human emotions must, by all means, be safe, if the word ""freedom""should ever be more than an empty political slogan.",Wilhelm Reich,Joy
"Success is not obtained overnight. It comes in installments; you get a little bit today, a little bit tomorrow until the whole package is given out. The day you procrastinate, you lose that day's success.",Israelmore Ayivor,Joy
But the problem is to make the soul into a monster,Arthur Rimbaud,Anger
"To live is to have worries and uncertainties. Keep them inside, and they will destroy you for certain--leaving behind a person so callused that emotion can find no root in his heart.",Brandon Sanderson,Fear
"I've developed a great reputation for wisdom by ordering more books than I ever had time to read, and reading more books, by far, than I learned anything useful from, except, of course, that some very tedious gentlemen have written books.",Marilynne Robinson,Joy
Reading is reading - no matter what the material.,Giovanna Fletcher,Anger
"Prometheus, thief of light, giver of light, bound by the gods, must have been a book.",Mark Z. Danielewski,Anger
"There’s as many atoms in a single molecule of your DNA as there are stars in the typical galaxy. We are, each of us, a little universe.",Neil deGrasse Tyson,Joy
"To design the future effectively, you must first let go of your past.",Charles J. Givens,Joy
"Laughter is not at all a bad beginning for a friendship, and it is far the best ending for one.",Oscar Wilde,Joy
"What a wee little part of a person's life are his acts and his words! His real life is led in his head, and is known to none but himself.",Mark Twain,Joy
I wish you a tolerable Thursday. That's all any of us can hope for.,April Winchell,Joy
"You know, you don't have to have permanent opinions. You can think, every morning, 'I love the world' and go to bed every night thinking, 'I hate the world.'",Michel Houellebecq,Anger
Paint the essential character of things.,Camille Pissarro,Joy
"Humor is really one of the hardest things to define, very hard. And it's very ambiguous. You have it, or you don't. You can't attain it.",Heinrich Boll,Fear
Excellence/Perfection is not a destination; it is a continuous journey that never ends.,Brian Tracy,Joy
"The only thing you have to do in this life is die,""said Mrs. Pinsky...""everything else is a choice.",Karen Thompson Walker,Anger
We all give up great expectations along the way.,Carlos Ruiz Zafón,Joy
"I had a dream about you. I was sitting on your couch, relating my succession of ideas on subconscious influence. I asked you what they meant, and you told me that free associations were a bad way to advance my political career.",Bauvard,Joy
"She thought about her life and how lost she’d felt for most of it. She thought about the way that all truths she’d been taught to consider valuable invariably conflicted with the world as it was actually lived. How could a person be so utterly lost, yet remain living?",Douglas Coupland,Joy
"Because you have to just go with the flow. Your life is not your own, with people coming in and out all the time. You get mellow because you have to.",Sarah Dessen,Joy
"I had a dream about you last night. I could fly. I was going to use this power to impress you, but you were too heavy to carry, so I won you over with my personality instead",Michael Summers,Joy
"Living might mean taking chances, but they're worth taking. Loving might be a mistake. but its worth making",Reba McEntire,Joy
"This is not the end, this is not even the beginning of the end, this is just perhaps the end of the beginning.",Winston S. Churchill,Fear
I was taught to strive not because there were any guarantees of success but because the act of striving is in itself the only way to keep faith with life.,Madeleine Albright,Joy
"I wanted change and excitement and to shoot off in all directions myself, like the colored arrows from a Fourth of July rocket.",Sylvia Plath,Joy
A good plan violently executed now is better than a perfect plan executed at some indefinite time in the future.,George S. Patton Jr.,Joy
"I didn't know you had a girlfriend, Griggs.""Anson Choi feigns surprise. ""What's her name?""""I didn't actually catch her name,""Griggs continues.""Lily,""Raffaela says over her shoulder and this time I give her a sideways look.""Great to know that I'm in love with a girl with a cool name.""""It's Taylor's middle name,""Raffaela calls back again.",Melina Marchetta,Joy
Cats don't need to be possessed; they're evil on their own.,Peter Kreeft,Anger
"I do not,""I felt oddly appalled by her statement. ""I'm an excellent liar. Ask my dentist. He swears I floss regularly.",Darynda Jones,Anger
"With eyes closed, a kiss is genderless. Now that mustaches are in fashion, some women are finding more hipster love.",Jarod Kintz,Joy
It is when things are at worst you will get the best.,Santosh Kalwar,Joy
What is grander than a country and more valuable than gold? Strength of heart.,Cornelius Elmore Addison,Joy
Faith is like radar that sees through the fog -- the reality of things at a distance that the human eye cannot see.,Corrie ten Boom,Fear
She is delightfully chaotic; a beautiful mess. Loving her is a splendid adventure.,Steve Maraboli,Joy
"We are here and it is now. The way I see it is, after that, everything tends towards guesswork.",Terry Pratchett,Fear
"Books have a way of finding their way into our lives, usually, right when we need them the most.",Richard P. Denney,Joy
"Don’t allow yourself to become disheartened when the thread doesn’t suit or seems unsightly to you. Wait and watch. Be patient and devoted. As the threads twist and turn, you will begin to understand, and you will see the pattern finally materialize in all its splendor.",Colleen Houck,Joy
"She seemed to be a nice person, too, instead of a homicidal bitch like his former wife. Otherwise, the world should fear. When Mencheres fell for a woman, he fell hard. If Kira asked for her own continent as a birthday present, Mencheres would probably have one conquered for her before she blew out her candles.",Jeaniene Frost,Joy
We rode the merry-go-round like a couple of lovers. We weren’t though; we were just two horse enthusiasts from two different worlds (I think she was from Mars).,Jarod Kintz,Joy
Do you realize how hard it is to keep your mind clear when somebody’s telling you to keep your mind clear?,Tom Upton,Joy
I want to be the Everyman and take an IQ test and get a perfect 100.,Jarod Kintz,Joy
I will describe my eyes and then begin the story. My eyes are blue and resplendent. Now I will begin the story.,Jonathan Safran Foer,Joy
"The integrity of my sleep has been forever compromised, sir.",David Foster Wallace,Joy
Cleverness is not wisdom.,Euripides,Joy
Your success and happiness lie in you.,Helen Keller,Joy
"I suppose that we women are such cowards that we think a man will save us from fears, and we marry him.",Bram Stoker,Fear
"A person's rightful due is to be treated as an object of love, not as an object for use.",Pope John Paul II,Joy
"He is richest who is content with the least, for content is the wealth of nature.",Socrates,Joy
"...and there you have it, another body on the floor surrounded by things that don't mean much to anyone except to the one who can't take any of them along.",Mark Z. Danielewski,Anger
"Some men die for lack of love…some die because of it. Think about it.""- Daemon",Anne Bishop,Anger
"Your heart’s strength is measured by how hard it holds on. Your self worth and faith is measured by finally letting go. However, your peace is measured by how long you don’t look back.",Shannon L. Alder,Joy
So India’s problem turns out to be the world’s problem. What happened in India has happened in God’s name.The problem’s name is God.,Salman Rushdie,Anger
Even God has a hell: his love of Mankind.,Paulo Coelho,Anger
what we call our despair is often only the painful eagerness of unfed hope.,George Eliot,Fear
True faith rests upon the character of God and asks no further proof than the moral perfections of the One who cannot lie.,A.W. Tozer,Joy
"Ah, when to the heart of man Was it ever less than a treason To go with the drift of things, To yield with a grace to reason, And bow and accept the end Of a love or a season?",Robert Frost,Anger
"the saddest thing is to bea minute to someone,when you've made them your eternity.",Sanober Khan,Joy
A broken heart is just the growing pains necessary so that you can love more completely when the real thing comes along.,J.S.B. Morse,Joy
"Because we all need to believe in movies, sometimes.",pleasefindthis,Joy
"Welcome to Paris, Anna. I'm glad you've come.",Stephanie Perkins,Joy
"'Shoot the wounded... what we do to people who are the most vulnerable... we 'shoot the wounded.' As if they haven't suffered enough, we add to it by gossiping and treating hurt people like outcasts.""...""I think we killed Ronnie's spirit... Instead of coming alongside her and supporting her through this, I failed her...",Lynn Dove,Fear
"You don't start out writing good stuff. You start out writing crap and thinking it's good stuff, and then gradually you get better at it. That's why I say one of the most valuable traits is persistence.",Octavia E. Butler,Joy
Never allow the fear of striking out keep you from playing the game!,Babe Ruth,Fear
I would rather be attacked than unnoticed. For the worst thing you can do to an author is to be silent as to his works.,Samuel Johnson,Anger
"Somehow, Sydney had an internal clock that told her when time was up. I think it was part of her inherent ability to keep track of a hundred things at once. Not me. In these moments, my thoughts were usually focused on getting her shirt off and whether I’d get past the bra this time. So far, I hadn’t.",Richelle Mead,Joy
"Most fools drink after one another, from a thinking cup that is empty. But I only drink after people whose cups are filled with a fluid to fascination ratio of nearly 1:1.",Jarod Kintz,Joy
A good traveller is one who knows how to travel with the mind.,Michael Bassey Johnson,Joy
"The whole secret of a successful life is to find out what is one's destiny to do, and then do it.",Henry Ford,Joy
No one knows as well as I how much nonsense is printed in books.,Julia Quinn,Anger
"DNA is like a computer program but far, far more advanced than any software ever created.",Bill Gates,Joy
Some like to believe it's the book that chooses the person.,Carlos Ruiz Zafón,Fear
"Without desires and dreams, your thoughts do not matter and you can think whatever you want to.",Stephen Richards,Joy
Reading made Don Quixote a gentleman. Believing what he read made him mad.,George Bernard Shaw,Anger
A mistake isn’t a mistake unless it can’t be put right.,Sophie Kinsella,Anger
We fool ourselves so much we could do it for a living.,Stephen King,Anger
We all know we're going to die; what's important is the kind of men and women we are in the face of this.,Anne Lamott,Joy
All people know the same truth. Our lives consist of how we choose to distort it.,Woody Allen,Fear
Life is a gift. Don't forget to live it.,Nicola Yoon,Joy
"No matter how many people believe or don’t believe in you, you must bethe ultimate believer in yourself!",Pablo,Joy
"Push yourself to do more and to experience more. Harness your energy to start expanding your dreams. Yes, expand your dreams. Don't accept a life of mediocrity when you hold such infinite potential within the fortress of your mind. Dare to tap into your greatness.",Robin S. Sharma,Joy
